name,category,phyAtk,magAtk,fireAtk,ligtAtk,holyAtk,critAtk,sorAtk,incAtk,phyGuard,magGuard,fireGuard,ligtGuard,holyGuard,boostGuard,strScale,dexScale,intScale,faiScale,arcScale,strReq,dexReq,intReq,faiReq,arcReq,damageTypes,weaponSkill,fpCost,weight,passive,poison,hemorrhage,frostbite,scarletRot,sleep,madness,deathBlight,upgradeType,url
"Parrying Dagger","Dagger","75","0","0","0","0","110","0","0","35","20","20","20","20","15","E","C","-","-","-","5","14","-","-","-","Slash/Pierce","Parry","0","1.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Parrying+Dagger"
"Miséricorde","Dagger","92","0","0","0","0","140","0","0","36","21","21","21","21","15","E","D","-","-","-","7","12","-","-","-","Slash/Pierce","Quickstep","3","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Misericorde"
"Great Knife","Dagger","75","0","0","0","0","110","0","0","35","20","20","20","20","15","E","C","-","-","-","6","12","-","-","-","Slash/Pierce","Quickstep","3","1.5","-","-","38","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Great+Knife"
"Bloodstained Dagger","Dagger","81","0","0","0","0","110","0","0","36","21","21","21","21","15","C","E","-","-","-","9","12","-","-","-","Slash/Pierce","Quickstep","3","2.0","-","-","38","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Bloodstained+Dagger"
"Erdsteel Dagger","Dagger","67","0","0","0","0","110","0","0","36","21","21","21","21","15","D","D","-","D","-","7","12","-","14","-","Slash/Pierce","Quickstep","3","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Erdsteel+Dagger"
"Wakizashi","Dagger","94","0","0","0","0","100","0","0","42","24","24","24","24","18","D","D","-","-","-","9","13","-","-","-","Slash/Pierce","Quickstep","3","3.0","-","-","38","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Wakizashi"
"Ivory Sickle","Dagger","60","60","0","0","0","100","0","0","26","42","15","15","15","15","E","D","D","-","-","6","11","13","-","-","Slash/Pierce","Quickstep","3","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Ivory+Sickle"
"Crystal Knife","Dagger","82","53","0","0","0","100","0","0","32","31","18","18","18","15","D","D","D","-","-","8","12","9","-","-","Slash/Pierce","Quickstep","3","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Crystal+Knife"
"Cinquedea","Dagger","98","0","0","0","0","100","0","0","43","25","25","25","25","18","D","E","-","-","-","10","10","-","-","-","Slash/Pierce","Quickstep","3","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Cinquedea"
"Reduvia","Dagger","79","0","0","0","0","110","0","0","38","22","22","22","22","16","E","D","-","-","D","5","13","-","-","13","Slash / Pierce","Reduvia Blood Blade","6","2.5","-","-","50","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Reduvia"
"Blade of Calling","Dagger","71","0","0","0","43","110","0","0","31","18","18","18","30","15","D","D","-","C","-","6","13","-","15","-","Slash/Pierce","Blade of Gold","17","1.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Blade+of+Calling"
"Black Knife","Dagger","66","0","0","0","65","110","0","0","26","15","15","15","42","15","E","D","-","D","-","8","12","-","18","-","Slash/Pierce","Blade of Death","25","2.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Black+Knife"
"Main-gauche","Dagger","79","0","0","0","0","110","0","0","38","22","22","22","22","16","D","C","-","-","-","7","15","-","-","-","Slash/Pierce","Parry","0","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Main-gauche"
"Short Sword","Straight Sword","102","0","0","0","0","100","0","0","42","28","28","28","28","28","D","D","-","-","-","8","10","-","-","-","Standard/Pierce","Kick","0","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Short+Sword"
"Longsword","Straight Sword","110","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","10","10","-","-","-","Standard/Pierce","Square Off","6","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Longsword"
"Broadsword","Straight Sword","117","0","0","0","0","100","0","0","47","31","31","31","31","31","D","E","-","-","-","10","10","-","-","-","Standard/Pierce","Square Off","6","4","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Broadsword"
"Weathered Straight Sword","Straight Sword","103","0","0","0","0","100","0","0","43","29","29","29","29","27","D","D","-","-","-","7","10","-","-","-","Standard/Pierce","Square Off","6","3","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Weathered+Straight+Sword"
"Cane Sword","Straight Sword","96","0","0","0","0","100","0","0","41","27","27","27","27","27","E","D","-","-","-","8","11","-","-","-","Standard/Pierce","Square Off","6","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Cane+Sword"
"Lazuli Glintstone Sword","Straight Sword","79","94","0","0","0","100","0","0","30","55","25","25","25","30","D","E","D","-","-","8","9","13","-","-","Standard/Pierce","Glintstone Pebble","8","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Lazuli+Glintstone+Sword"
"Crystal Sword","Straight Sword","106","68","0","0","0","100","0","0","44","44","30","30","30","33","D","E","D","-","-","13","10","15","-","-","Standard/Pierce","Spinning Slash","6","4.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Crystal+Sword"
"Rotten Crystal Sword","Straight Sword","102","66","0","0","0","100","0","0","48","38","31","31","31","33","D","E","D","-","-","13","10","15","-","-","Pierce","Spinning Slash","6","4.5","-","-","-","-","50","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Rotten+Crystal+Sword"
"Ornamental Straight Sword","Straight Sword","101","0","0","0","0","110","0","0","42","28","28","28","28","28","E","D","-","-","-","10","14","-","-","-","Standard/Pierce","Golden Tempering","24","3.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Ornamental+Straight+Sword"
"Golden Epitaph","Straight Sword","85","0","0","0","85","100","0","0","25","15","15","15","40","30","D","D","-","D","-","12","10","-","14","-","Standard/Pierce","Last Rites","25","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Golden+Epitaph"
"Sword of St Trina","Straight Sword","107","32","0","0","0","100","0","0","39","33","27","27","27","28","D","D","E","-","-","10","12","14","-","-","Standard/Pierce","Mists of Slumber","20","3","-","-","-","-","-","66","-","-","Somber","https://eldenring.wiki.fextralife.com/Sword+of+St+Trina"
"Regalia of Eochaid","Straight Sword","89","57","0","0","0","100","0","0","48","40","31","31","31","33","E","D","-","-","D","12","18","-","-","15","Standard/Pierce","Eochaid's Dancing Blade","15","5.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Regalia+of+Eochaid"
"Coded Sword","Straight Sword","0","0","0","0","85","100","0","0","13","22","22","22","58","27","-","-","-","B","-","-","-","-","20","-","Standard/Pierce","Unblockable Blade","18","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Coded+Sword"
"Sword of Night and Flame","Straight Sword","87","56","56","0","0","100","0","0","36","42","42","26","26","31","E","E","D","D","-","12","12","24","24","-","Standard/Pierce","Night-and-Flame Stance","26","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Sword+of+Night+and+Flame"
"Velvet Sword of St. Trina","Straight Sword","95","61","0","0","0","110","0","0","37","37","25","25","25","27","E","D","E","-","-","10","12","14","-","-","Standard/Pierce","Mists of Eternal Sleep","23","2.5","-","-","-","-","-","42","-","-","Somber","https://eldenring.wiki.fextralife.com/Velvet+Sword+of+St+Trina"
"Stone-Sheathed Sword","Straight Sword","119","0","0","0","0","100","0","0","54","33","33","33","33","32","C","D","-","-","-","16","8","-","-","-","Strike","Square Off","0","5.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Stone-Sheathed+Sword"
"Sword of Light","Straight Sword","93","0","0","0","93","100","0","0","26","15","15","15","42","31","D","E","-","E","-","14","11","-","24","-","Standard/Pierce","Light","30","4.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Sword+of+Light"
"Bastard Sword","Greatsword","138","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","16","10","-","-","-","Standard / Pierce","Stamp (Upward Cut)","5","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Bastard+Sword"
"Claymore","Greatsword","138","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","16","13","-","-","-","Standard/Pierce","Lion's Claw","20","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Claymore"
"Iron Greatsword","Greatsword","149","0","0","0","0","100","0","0","73","39","39","39","39","47","C","E","-","-","-","18","10","-","-","-","Standard/Pierce","Stamp (Upward Cut)","20","12","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Iron+Greatsword"
"Forked Greatsword","Greatsword","124","0","0","0","0","100","0","0","61","33","33","33","33","39","D","D","-","-","-","14","16","-","-","-","Standard/Pierce","Stamp (Upward Cut)","5","9","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Forked+Greatsword"
"Flamberge","Greatsword","129","0","0","0","0","100","0","0","65","35","35","35","35","42","D","C","-","-","-","15","14","-","-","-","Standard/Pierce","Stamp (Upward Cut)","5","10.0","-","-","55","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Flamberge"
"Inseparable Sword","Greatsword","98","0","0","0","98","100","0","0","59","34","34","34","52","44","D","D","-","C","-","18","18","-","20","-","Standard / Pierce","Sacred Blade","19","10.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Inseparable+Sword"
"Blasphemous Blade","Greatsword","121","0","78","0","0","100","0","0","72","39","54","39","39","50","D","D","-","D","-","22","15","-","21","-","Standard/Pierce","Taker's Flames","30","13.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Blasphemous+Blade"
"Golden Order Greatsword","Greatsword","86","0","0","0","103","100","0","0","55","30","30","30","60","42","E","D","-","C","-","16","21","-","28","-","Standard/Pierce","Establish Order","20","10.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Golden+Order+Greatsword"
"Dark Moon Greatsword","Greatsword","82","98","0","0","0","100","0","0","57","63","31","31","31","44","D","D","C","-","-","16","11","38","-","-","Standard/Pierce","Moonlight Greatsword","32","10.0","-","-","-","55","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dark+Moon+Greatsword"
"Sacred Relic Sword","Greatsword","118","0","0","0","76","110","0","0","62","33","33","33","45","42","E","D","-","D","-","14","24","-","22","-","Standard/Pierce","Wave of Gold","42","11.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Sacred+Relic+Sword"
"Lizard Greatsword","Greatsword","140","0","0","0","0","100","0","0","66","35","35","35","35","43","D","D","-","-","-","12","14","-","-","-","Strike/Pierce","Stamp (Upward Cut)","5","9.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Lizard+Greatsword"
"Greatsword of Damnation","Greatsword","123","0","0","0","79","100","0","0","58","31","31","31","42","39","D","E","-","D","-","20","15","-","20","-","Standard/Pierce","Golden Crux","21","8.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Greatsword+of+Damnation"
"Greatsword of Solitude","Greatsword","120","0","0","0","0","100","0","0","89","40","40","40","40","53","B","E","-","-","-","27","13","-","-","-","Standard/Pierce","Solitary Moon Slash","12","15.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Greatsword+of+Solitude"
"Zweihander","Colossal Sword","141","0","0","0","0","100","0","0","67","40","40","40","40","45","D","D","-","-","-","19","11","-","-","-","Standard","Stamp (Upward Cut)","5","15.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Zweihander"
"Greatsword","Colossal Sword","164","0","0","0","0","100","0","0","84","50","50","50","50","56","C","E","-","-","-","31","12","-","-","-","Standard","Stamp (Upward Cut)","5","23","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Greatsword"
"Royal Greatsword","Colossal Sword","112","134","0","0","0","100","0","0","71","63","44","44","44","52","D","E","D","-","-","26","18","22","-","-","Standard","Wolf´s Assault","20","20.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Royal+Greatsword"
"Grafted Blade Greatsword","Colossal Sword","162","0","0","0","0","100","0","0","80","48","48","48","48","53","C","E","-","-","-","40","14","-","-","-","Standard","Oath of Vengeance","20","21.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Grafted+Blade+Greatsword"
"Ruins Greatsword","Colossal Sword","124","37","0","0","0","100","0","0","82","56","50","50","50","56","B","-","E","-","-","50","-","16","-","-","Standard","Wave of Destruction","25","23.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Ruins+Greatsword"
"Starscourge Greatsword","Colossal Sword","129","83","0","0","0","100","0","0","65","47","34","34","34","52","D","D","E","-","-","38","12","15","-","-","Standard","Starcaller Cry","20","20.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Starscourge+Greatsword"
"Ancient Meteoric Ore Greatsword","Colossal Sword","154","46","0","0","0","100","0","0","80","55","49","49","49","55","D","E","-","-","D","35","10","-","-","19","Standard/Pierce","White Light Charge","10","22.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Ancient+Meteoric+Ore+Greatsword"
"Greatsword of Radahn (Light)","Colossal Sword","129","83","0","0","0","100","0","0","65","47","34","34","34","52","D","D","E","-","-","32","24","15","-","-","Standard/Pierce","Lightspeed Slash","26","19.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Greatsword+of+Radahn+(Light)"
"Greatsword of Radahn (Lord)","Colossal Sword","129","83","0","0","0","100","0","0","69","42","47","42","42","47","D","D","E","-","-","32","24","15","-","-","Standard/Pierce","Promised Consort","20","19.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Greatsword+of+Radahn+(Lord)"
"Rapier","Thrusting Sword","96","0","0","0","0","130","0","0","45","30","30","30","30","20","E","C","-","-","-","7","12","-","-","-","Standard/Pierce","Impaling Thrust","14","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Rapier"
"Estoc","Thrusting Sword","107","0","0","0","0","100","0","0","54","36","36","36","36","24","E","C","-","-","-","11","13","-","-","-","Standard/Pierce","Impaling Thrust","14","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Estoc"
"Antspur Rapier","Thrusting Sword","98","0","0","0","0","100","0","0","47","31","31","31","31","21","D","D","-","-","-","10","20","-","-","-","Standard/Pierce","Impaling Thrust","14","3.0","-","-","-","-","55","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Antspur+Rapier"
"Frozen Needle","Thrusting Sword","99","0","0","0","0","100","0","0","40","40","28","28","28","20","E","D","-","-","-","11","18","-","-","-","Standard/Pierce","Impaling Thrust","14","2.5","-","-","-","60","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Frozen+Needle"
"Carian Sorcery Sword","Thrusting Sword","69","69","0","0","0","110","0","0","34","48","24","24","24","19","E","D","D","-","-","10","19","16","-","-","Standard/Pierce","Impaling Thrust","9","2.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Carian+Sorcery+Sword"
"Great Épée","Heavy Thrusting Sword","124","0","0","0","0","100","0","0","52","36","36","36","36","31","D","D","-","-","-","15","16","-","-","-","Standard/Pierce","Impaling Thrust","9","6.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Great+Epee"
"Godskin Stitcher","Heavy Thrusting Sword","127","0","0","0","0","100","0","0","55","38","38","38","38","33","D","D","-","-","-","14","17","-","-","-","Standard/Pierce","Impaling Thrust","9","7.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Godskin+Stitcher"
"Bloody Helice","Heavy Thrusting Sword","121","0","0","0","0","100","0","0","57","40","40","40","40","34","E","D","-","-","D","16","19","-","-","17","Standard/Pierce","Dynast's Finesse","5","8.0","-","-","55","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Bloody+Helice"
"Sword Lance","Heavy Thrusting Sword","132","0","0","0","0","100","0","0","73","39","39","39","39","42","C","E","-","-","-","21","11","-","-","-","Standard/Pierce","Impaling Thrust","9","9.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Sword+Lance"
"Scimitar","Curved Sword","106","0","0","0","0","100","0","0","40","30","30","30","30","25","D","D","-","-","-","7","13","-","-","-","Slash","Spinning Slash","6","3.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Scimitar"
"Falchion","Curved Sword","109","0","0","0","0","100","0","0","42","31","31","31","31","26","D","D","-","-","-","9","13","-","-","-","Slash","Spinning Slash","6","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Falchion"
"Shamshir","Curved Sword","108","0","0","0","0","100","0","0","42","31","31","31","31","26","D","D","-","-","-","7","13","-","-","-","Slash","Spinning Slash","6","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Shamshir"
"Grossmesser","Curved Sword","115","0","0","0","0","100","0","0","46","34","34","34","34","28","D","D","-","-","-","14","12","-","-","-","Slash","Spinning Slash","6","4.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Grossmesser"
"Shotel","Curved Sword","96","0","0","0","0","100","0","0","37","27","27","27","27","22","E","D","-","-","-","9","19","-","-","-","Slash","Spinning Slash","6","2.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Shotel"
"Mantis Blade","Curved Sword","112","0","0","0","0","100","0","0","44","33","33","33","33","27","D","D","-","-","-","10","12","-","-","-","Slash","Spinning Slash","6","4.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Mantis+Blade"
"Flowing Curved Sword","Curved Sword","109","0","0","0","0","100","0","0","42","31","31","31","31","26","D","D","-","-","-","9","17","-","-","-","Slash","Spinning Slash","6","3.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Flowing+Curved+Sword"
"Magma Blade","Curved Sword","96","0","62","0","0","100","0","0","44","30","44","30","30","27","D","D","-","D","-","9","15","-","16","-","Slash","Magma Shower","12","4","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Magma+Blade"
"Nox Flowing Sword","Curved Sword","112","0","0","0","0","100","0","0","40","30","30","30","30","25","E","D","-","-","-","8","15","-","-","-","Slash","Flowing Form","9","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Nox+Flowing+Sword"
"Wing of Astel","Curved Sword","65","78","0","0","0","100","0","0","28","52","23","23","23","23","E","D","D","-","-","7","17","20","-","-","Slash","Nebula","20","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Wing+of+Astel"
"Eclipse Shotel","Curved Sword","77","0","0","0","77","100","0","0","35","25","25","25","50","25","E","D","-","D","-","10","25","-","30","-","Slash","Death Flare","16","3.0","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Eclipse+Shotel"
"Spirit Sword","Curved Sword","92","59","0","0","0","100","0","0","38","38","26","26","26","19","E","D","D","-","-","8","16","16","-","-","Slash","Rancor Slash","12","2.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Spirit+Sword"
"Falx","Curved Sword","107","0","0","0","0","100","0","0","42","31","31","31","31","23","D","D","-","-","-","12","15","-","-","-","Slash","Revenger's Blade","15","4.0","-","-","55","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Falx"
"Dancing Blade of Ranah","Curved Sword","88","0","0","0","0","100","0","0","37","28","29","29","27","20","-","B","-","-","-","9","20","-","-","-","Slash","Unending Dance","2","3.5","-","-","-","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Dancing+Blade+of+Ranah"
"Dismounter","Curved Greatsword","138","0","0","0","0","100","0","0","65","35","35","35","35","42","D","D","-","-","-","19","16","-","-","-","Slash","Spinning Slash","6","10.0","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Dismounter"
"Omen Cleaver","Curved Greatsword","142","0","0","0","0","100","0","0","68","36","36","36","36","44","D","D","-","-","-","19","16","-","-","-","Slash","Spinning Slash","6","11.5","-","-","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Omen+Cleaver"
"Zamor Curved Sword","Curved Greatsword","130","0","0","0","0","100","0","0","67","33","33","33","33","39","D","D","-","-","-","16","18","-","-","-","Slash","Zamor Ice Storm","15","9.0","-","-","-","65","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Zamor+Curved+Sword"
"Uchigatana","Katana","115","0","0","0","0","100","0","0","45","30","30","30","30","30","D","D","-","-","-","11","15","-","-","-","Slash/Pierce","Unsheathe","10","5.5","-","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Uchigatana"
"Nagakiba","Katana","115","0","0","0","0","100","0","0","49","33","33","33","33","33","D","C","-","-","-","18","22","-","-","-","Slash/Pierce","Unsheathe","0","7","-","-","45","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Nagakiba"
"Serpentbone Blade","Katana","120","0","0","0","0","100","0","0","45","30","30","30","30","30","E","C","-","-","-","11","22","-","-","-","Slash/Pierce","Double Slash","6","6","-","66","-","-","-","-","-","-","Regular","https://eldenring.wiki.fextralife.com/Serpentbone+Blade"
"Meteoric Ore Blade","Katana","112","72","0","0","0","100","0","0","50","45","31","31","31","33","D","E","D","-","-","15","14","18","-","-","Slash/Pierce","Gravitas","13","7.5","-","-","50","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Meteoric+Ore+Blade"
"Moonveil","Katana","73","87","0","0","0","100","0","0","31","57","26","26","26","31","E","D","C","-","-","12","18","23","-","-","Slash/Pierce","Transient Moonlight","15","6.5","-","-","50","-","-","-","-","-","Somber","https://eldenring.wiki.fextralife.com/Moonveil"
